id,中文名,英文名,类别,阵营,等级,正典,纬度,东经,西经,SpaceEngine,MOLA高程_m,2100状态,最近水体,离水_km,定位方法,规则,依附,正典描述,出处,旧纬度,旧东经,较旧坐标偏移_km
ius_locks_w,Ius 船闸群（西闸）,Ius Locks (west),闸坝,锈色中国,1,正文+地图,-8.953,282.891,77.109,GoTo { Lat -8.953 Lon -77.109 HeightKm 0 },-3273,水上（水手峡谷海·Ius 段）,水手峡谷海·Ius 段,0,运河端点（两级水面之间）,gap_end:marineris_ius:marineris_mid,Ius 段水面东端，运河西口,正典：西半部的巨型船闸阻止水在东端积聚,ITW p.22 · p22 图,-12.7,277.8,370
ius_locks_e,Ius 船闸群（东闸）,Ius Locks (east),闸坝,锈色中国,1,正文+地图,-8.516,285.734,74.266,GoTo { Lat -8.516 Lon -74.266 HeightKm 0 },-3677,水上（水手峡谷海·中段）,水手峡谷海·中段,0,运河端点（两级水面之间）,gap_end:marineris_mid:marineris_ius,Melas 段水面西端，运河东口；两闸之间是约 170 km 的越岭运河,,ITW p.22 · p22 图,-11.6,279.1,428
capri_dam,Capri 峡谷大坝,Capri Chasma Dam,闸坝,火星联邦（美）,1,正文+地图,-14.713,317.984,42.016,GoTo { Lat -14.713 Lon -42.016 HeightKm 0 },-3631,陆地,厄俄斯湖,2,水库出口,cutface:marineris_eos:318.0:north,厄俄斯湖东北出口，下泄水经河道供给红湖,红湖由 Capri 峡谷大坝的下泄水供给；罗宾逊城在坝西侧,ITW p.25 · p22 图,-9.7,312.4,439
eos_dam,Eos 大坝,Eos Dam,闸坝,火星联邦（美）,1,仅地图,-15.625,317.984,42.016,GoTo { Lat -15.625 Lon -42.016 HeightKm 0 },-3893,水上（厄俄斯湖）,厄俄斯湖,0,水库出口,cutface:marineris_eos:318.0:south,厄俄斯湖东南出口,,p22 图,-14.7,317.3,67
new_shanghai,新上海,New Shanghai,城市,锈色中国,1,正文+地图,-0.012,247.395,112.605,GoTo { Lat -0.012 Lon -112.605 HeightKm 0 },13810,陆地,—,>1500,MOLA 火山口缘,caldera_rim:Pavonis Mons:S,Pavonis Mons 山顶火山口南缘,火星最大城市，太空电梯地面站；一号穹顶北缘能向下看三英里到火山口底,ITW p.21–22,0.8,246.6,67
elevator,太空电梯地面基座,Space Elevator ground station,设施,锈色中国,1,正文,0.039,247.395,112.605,GoTo { Lat 0.039 Lon -112.605 HeightKm 0 },13769,陆地,—,>1500,相对定位,near:new_shanghai:N:3,新上海六穹顶环绕的基座建筑群,六个穹顶围绕电梯基座；缆索断裂时新上海及东郊首当其冲,"ITW p.21, 27",,,
nix_olympica,尼克斯奥林匹卡,Nix Olympica,城市,独立,1,正文+地图,14.148,226.198,133.802,GoTo { Lat 14.148 Lon -133.803 HeightKm 0 },4375,陆地,北方海,916,MOLA 崖顶,scarp_top:Olympus Mons:S,Olympus Mons 南坡崖顶,独立大学城，CR 2；位于南坡崖顶，俯瞰塔西斯；有专用支线接赤道铁路,"ITW p.17, 44",18.7,226.2,270
univ_mars,火星大学,University of Mars,设施,独立,2,正文,14.165,226.198,133.802,GoTo { Lat 14.165 Lon -133.803 HeightKm 0 },4550,陆地,北方海,915,相对定位,near:nix_olympica:N:1,尼克斯奥林匹卡城内,2066 年成立；地球化系无可匹敌,ITW p.17,,,
zeus_resort,宙斯旅游度假区（主设施）,Zeus Tourist Resort,设施,独立,2,正文+地图,14.148,226.225,133.775,GoTo { Lat 14.148 Lon -133.775 HeightKm 0 },4350,陆地,北方海,917,相对定位,near:nix_olympica:E:1.6,尼克斯奥林匹卡以东一英里的崖缘，电车相连,登山、攀崖、滑雪、飞艇游览,"ITW p.17, 20",18.7,224.0,298
zeus_caldera,宙斯度假区·火山口分部,Zeus Resort (caldera branch),设施,独立,3,正文,18.343,226.805,133.195,GoTo { Lat 18.343 Lon -133.195 HeightKm 0 },17917,陆地,北方海,914,MOLA 火山口,caldera:Olympus Mons,Olympus Mons 山顶火山口,度假区分支之一,ITW p.20,,,
